COc1ccc(cc1)C(O)=O OC(=O)c1ccc(c(c1)C(O)=O)[N+]([O-])=O
CCCCCCCOCC(COCCCCCCC)(COCCCCCCC)COCCCCCCC CCCC#N
CCCC(Cl)CCCC(Cl)CCC(Cl)CCC(Cl)CCC(Cl)CCCC(Cl)CCC CC(=O)OCC=C
CC(C)CCCCCCCCCCCCCCCOC(=O)CC(O)C(=O)OCCCCCCCCCCCCCCCC(C)C NC(=O)OCC(C)(C)C
CCCCCCCC\C=C\CCCCCCCC(=O)OCCC(C)C CCC(C)C(O)=O
CCCCCCCCCCCCCCCCCCCC CCC(=O)OC
CCC(CC)CO[Si](OCC(CC)CC)(OCC(CC)CC)OCC(CC)CC CC(O)CNCCN
CCCCCCCCCCOC(=O)C(CC)CCCC CCC(CO)(CO)[N+]([O-])=O
CCCCCCCCCCCCCCCCCCOC(=O)CCSCCC(=O)OCCCCCCCCCCCCCCCCCC CC(CO)OC(=O)C(C)=C
CCCCC(CC)CN(CC(CC)CCCC)CC(CC)CCCC C\C=C/C(O)=O
CC(CCOC(=O)CC(C)CC(C)(C)C)CC(C)(C)C CNC(=O)NC
CCCCCCCCCCCCCCCCCCCCCCCCCC C[Si](C)C
CCCCCCCCCCCCCCCCCCCCCC(=O)OCC(CO)(CO)COC(=O)CCCCCCCCCCCCCCCCCCCCC COC=O
CCCCCCCCCCCCCCCC CCCCCCC(C\C=C/CCCCCCCC(O)=O)O[S](O)(=O)=O
CCCCCCCCCCCCOC(=O)C(C)=C OC=O
CC(C)CCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCC(C)C CN=C=S
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC NC(=O)CCNCCO
CCCCCCCCCCCCCCCCCCOC(=O)C(C)=C CC[S](=O)(=O)C(C)(CO)[S](=O)(=O)CC
CCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC CN(C)CCOCCN(C)CCO
CCCCCCCC\C=C/CCCCCCCC(=O)OCC(CC)(CO)COC(=O)CCCCCCC\C=C/CCCCCCCC CCC(O)CN(CC(O)CC)CC(O)CC
CCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCCCC CCOC(=O)CCCC(=O)OCC
CCCCCCCCCCCCCCCCCC(=O)OC(CCCCCC)CCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(C)C CCN(CC)CC(C)O
CCCCC(CC)CO[P](=O)(OCC(CC)CCCC)OCC(CC)CCCC CCN(CC)C(=O)CCl
CCCCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC OC(CC(O)=O)C(O)=O
CCCCCCCCCCCCCCCCCC(=O)OC CCCCOC(=O)CO
CC(C(C)(C)C)C(C)(C)SSSC(C)(C)C(C)C(C)(C)C CC(C)O
FC(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F CCN(CC)S(=O)N(CC)CC
CCCCC(CC)C(=O)OCC(COC(=O)C(CC)CCCC)(COC(=O)C(CC)CCCC)COC(=O)C(CC)CCCC CC(O)CN(CC(C)O)CC(C)O
C[Si](C)(C)O[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C CC(C)CC(C(=O)O)N(CCC#N)CCC#N
CCCCCCCCCCCCCCC OCCOCCO
CCCCCCCC/C=C/CCCCCCCCO[P+](=O)OCCCCCCCC\C=C\CCCCCCCC CN(CCO)CCO
CCCCCCCCCCCCCCCCCCCC\C=C\C\C=C\CCCCCCCCCCCNCCCCCCCCCCCCCCCCCCCC\C=C\C\C=C\CCCCCCCCCCC CSCCC(N(CCC#N)CCC#N)C(O)=O
CC1(C)CO1 O=CC1CO1
ClCC1CO1 CC1CO1
CC(=C)C(=O)OCC1CO1 C[C@@H]1CO1
CC1(CCl)CO1 CC(=O)C1(C)CO1
CCCC1CO1 C1CO1
CCCCOCC1CO1 C=CCOCC1CO1
CCCC1OC1(CC)C(N)=O CC1OC1C
CCC(C)(CCC(C)C)C(=O)OCC1CO1 C[C@H]1CO1
CCCCCCCCCCC1CO1 OCC1CO1
CCCCCCCCCCCCC1CO1 COCCOCCO[Si](CCCOCC1CO1)(OCCOCCOC)OCCOCCOC
CCCCCCCCCCCCCCC1CO1 CCC1CO1
CC1(C)C2CCC(=C)C1C2 CC1(C)C2CC(O)C(=C)C1C2
OC(=O)/C(S)=C/C1CCCCC1 OC(=O)C1CCC(CC1)C(O)=O
CC(O)CCC1CCCCC1 OC(=O)C1(O)CCCCC1
CCCCCCCCCCNC(=O)NC1CCCCC1 COC(=O)C1CCC(CC1)C(=O)OC
CC(C)[C@H]1CC[C@@H](C)CC1O OC(=O)C1CCCCC1C(O)=O
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)[C@H](C)O [NH3+][C@H]1CCCC[C@H]1[NH3+]
CC(=C)[C@@H]1C[C@@H](CC[C@@]1(C)C=C)C(C)(C)O CC(=O)C=C(C)NC1CCCCC1NC(C)=CC(C)=O
O[S](=O)(=O)CCCNC1CCCCC1 OC1(CCCCC1)C#C
CC(=C)C(=O)OC1CCCCC1 NC1CCCCC1
CO[SiH](CC1CCCCC1)OC NC(=O)OC1(CCCCC1)C#C
C1CCCCC1 OC1CCCCC1
CC(C)(C)C1CCC(O)CC1 OC(=O)CC1(CCCCC1)CC(O)=O
CCCOC(=O)C1CCCCC1C(=O)OCCC CN(C)C(=O)NC[C@@]1(C)C[C@@H](CC(C)(C)C1)NC(=O)N(C)C
CCCCNC1(CCCCC1)[P](=O)(OCCCC)OCCCC CC1CCCC(O)(C(C)C)C1
CCOC(=O)C(C)C1CCCCC1 OC1CC(O)C(O)C(O)C1O
SC1CCCCC1 CC(=C)C1CCC(C)(O)C(O)C1
ClCCN(N=O)C(=O)NC1CCCCC1 OC(=O)C1CCCCC1
CCSC(=O)N(CC)C1CCCCC1 CS(=O)(=O)NS(=O)(=O)C1CCCCC1
CC(C)(C)C1CCC(CC1)OC(=O)C=C C=COC1CCCCC1
CC(=O)CC(C)(C)C1CCCCC1 CC(C)C1CCC(C)CC1O
CC(OC(C)=O)C1CCCCC1 CC1CCCCC1OC(C)=O
CCC(O)COC1CCCCC1C(C)(C)C OC(=O)CC1CCCCC1
CC(=O)OC1CCC(CC1)C(C)(C)C CC1CC(O)CC(C)(C)C1
CCC(=O)OC1C(C)CCCC1(C)C CN(C)C1CCCCC1
CC1CCCCC1 CC(C)C1CCC(C)CC1OO
C\C=C\OC1CCC(CC1)O\C=C\C OC1C(O)C(O)C(O[P](O)(O)=O)C(O)C1O
CCCC(=O)OC(C)C1CCCCC1 CN(C)CCNC(=O)NC1CCCCC1
COC1CC(C)CCC1C(C)C NCC1CCC(CC1)C(O)=O
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(C)=O CC(C)C1CCC(O)CC1
CC1CC(CC(C)(C)C1)OC(=O)C=C C[P](F)(=O)OC1CCCCC1
C=CCOC(=O)CCC1CCCCC1 ClC1CCCCC1
CC(C)[C@H]1CC[C@H](C)C[C@@H]1OC(C)=O CC1CCCCC1O
CCOC1CC(C)CC(C)(C)C1 C1CCCCC1OC(=O)C
CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
CCC(=O)OC1CCC(CC1)C(C)C BrC1CCCCC1
CC(C)COC(=O)C1CCCCC1C(=O)OCC(C)C OC1C(O)C(O)C(O)C(O)C1O
CCC1CCCCC1 CCCCCOC(=O)CCCNC(=O)NC1CCCCC1
C[C@H]1CCCC[C@H]1C CC(C)C1C(C)CCCC1O
CCC(CC)CC1(CCCCC1)C(O)=O CC(C)(O)C1CCC(C)(O)CC1
CC(=O)O[C@@H]1CCCC[C@@H]1C(C)(C)C OC(=O)CSC1CCCCC1
C/C1CCCCC1\C CC(C)(OC1CCCCC1)C(O)=O
CCOC(=O)OC1CCCCC1C(C)(C)C CC(C)C1(C)CCCC(O)C1
C[C@H]1CCCC[C@@H]1C C1CCC(C(C1)O[N+](=O)O)O[N+](=O)O
CCC(C)(C)C1CCCCC1OC(C)=O NC(=O)NN=CCOC1CCCCC1
CC1CCC(C)CC1 CC1CCC(O)CC1
CC1CC(CC(C)(C)C1)OC(=O)C(C)=C CC1(C)CC(O)CC(C)(CN)C1
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl O[C@@H]1C[C@@H](O)[C@H](O)C(O)[C@H]1O
CC1CCCC(C)(C)C1 CCOC(=O)C1CCC(CC1)C(=O)OCC
CC(C)C1CCCCC1 CNC1CCCCC1
CC1CCC(CC1)C(C)C O[P](O)(=O)O[C@H]1[C@H](O[P](O)(O)=O)[C@@H](O[P](O)(O)=O)[C@H](O[P](O)(O)=O)[C@@H](O[P](O)(O)=O)[C@H]1O[P](O)(O)=O
CC(C)(C)OOC1(CCCCC1)OOC(C)(C)C CC(=O)OC1(CCCCC1)C#C
CCC(C)(C)OOC1(CCCCC1)OOC(C)(C)CC CC(C)C1CCC(C)CC1OCC(O)CO
ICC1CCC(CI)CC1 OC1CC(O)(CC(O)C1O)C(O)=O
CC1CC(C)(C)CC(C1)(OOC(C)(C)C)OOC(C)(C)C NC1C(O)C(O)C(O)C(O)C1O
CCC(CC)CC1(CCCCC1)C#N C1CC(CC(C1)O[N+](=O)[O-])O[N+](=O)[O-]
CCCCC(CC)COC(=O)C1CCC(CC1)C(=O)OCC(CC)CCCC CC1CCC(C(O)C1)C(C)=C
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C1(F)F CC(C)[C@@H]1CC[C@@H](C)C[C@@H]1O
CC1=CCC2CC1C2(C)C CC1(C)[C@H]2CC=C(CCO)[C@@H]1C2
CC1=CC[C@H]2C[C@@H]1C2(C)C CC1(C)C2CC=C(CCC=O)C1C2
CC(C)(C)C1CCC(=O)CC1 C1CCCC(C)C1=O
CCC(C)C1CCCCC1=O O=C1CCCCC1
O=C(C(CCC1C)C(C)C)C1 CC1(C)CC(=O)CC(C)(C1)C#N
CC(C)[C@@H]1CC[C@@H](C)CC1=O CC1CC(=O)CC(C)(C)C1
Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2 Clc1ccc(Cl)c(c1Cl)c2ccccc2Cl
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl Clc1cccc(c1)c2cc(Cl)ccc2Cl
Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)cc2Cl Oc1ccc(c(c2ccccc2)c1[N+]([O-])=O)[N+]([O-])=O
Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)cc2Cl Clc1ccc(c2ccccc2)c(Cl)c1Cl
Clc1cccc(Cl)c1c2c(Cl)cccc2Cl Nc1ccc(c2ccc(N)cc2[S](O)(=O)=O)c(c1)[S](O)(=O)=O
Clc1ccccc1c2c(Cl)c(Cl)cc(Cl)c2Cl Clc1ccc(cc1)c2ccc(Cl)cc2
Clc1cc(Cl)c(c(Cl)c1)c2cccc(Cl)c2Cl Clc1cc(Cl)cc(c1)c2ccccc2Cl
Clc1cccc(c2cc(Cl)c(Cl)c(Cl)c2)c1Cl OC(=O)C1=CC(=CC=C1O)C2=C(F)C=C(F)C=C2
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)cc(Cl)c2Cl Clc1ccc(cc1)c2cccc(Cl)c2Cl
Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl [O-][N+](=O)c1ccccc1c2ccc(Cl)cc2
Clc1ccccc1c2c(Cl)cc(Cl)c(Cl)c2Cl Cc1ccc(cc1)c2ccc(C)cc2
Clc1ccc(Cl)c(c1)c2c(Cl)cc(Cl)cc2Cl [O-][N+](=O)c1ccc(cc1)c2ccccc2
Clc1cc(Cl)cc(c1)c2cc(Cl)c(Cl)cc2Cl C1=CC=C(C=C1)C2=CC=CC=C2
Clc1ccc(c(Cl)c1)c2c(Cl)cc(Cl)c(Cl)c2Cl Oc1cc(c2ccccc2)c(cc1[N+]([O-])=O)[N+]([O-])=O
Clc1ccccc1c2cc(Cl)c(Cl)c(Cl)c2Cl Clc1ccc(cc1Cl)c2ccccc2Cl
Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl OC(=O)CC1=CC=C(C=C1)C2=CC=CC=C2
Clc1ccc(cc1Cl)c2c(Cl)ccc(Cl)c2Cl Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2
Clc1ccc(c(Cl)c1Cl)c2c(Cl)ccc(Cl)c2Cl OC(=O)CCC(=O)c1ccc(cc1)c2ccccc2
Clc1ccc(cc1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl COc1cc(c(O)c(c1)C(C)(C)C)c2cc(OC)cc(c2O)C(C)(C)C
Clc1ccc(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl OC(=O)c1ccccc1c2ccccc2C(O)=O
Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl Clc1cccc(c1)c2cccc(Cl)c2
BrC1=CC=C(C2=CC=C(Br)C=C2)C=C1 Nc(ccc(c(ccc(N)c1)c1)c2)c2
Brc1ccc(c(Br)c1Br)c2ccc(Br)c(Br)c2Br c1ccccc1c2c(Cl)cccc2Cl
Clc1cccc(c1)c2c(Cl)c(Cl)cc(Cl)c2Cl ClC1=CC(=C(C(=C1)Cl)C2=CC=CC=C2)Cl
Clc1ccc(cc1)c2cc(Cl)c(Cl)cc2Cl c1ccccc1c2ccc(Cl)cc2
Clc1ccc(c(Cl)c1)c2cc(Cl)cc(Cl)c2Cl COc1cc(ccc1N)c2ccc(N)c(OC)c2
Clc1ccc(Cl)c(c1)c2cc(Cl)cc(Cl)c2Cl Clc1cccc(c1)c2c(Cl)cccc2Cl
Clc1cc(Cl)c(Cl)c(c1)c2c(Cl)ccc(Cl)c2Cl CC(C)c1ccc(cc1)c2ccccc2
Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl Clc1ccccc1c2c(Cl)cccc2Cl
Clc1ccc(cc1)c2c(Cl)c(Cl)cc(Cl)c2Cl ClC1=CC(=C(Cl)C(=C1)Cl)C2=CC=CC=C2Cl
Clc1ccc(Cl)c(c1Cl)c2c(Cl)ccc(Cl)c2Cl c1cccc(Cl)c1c2c(Cl)ccc(Cl)c2
Clc1cc(Cl)c(c(Cl)c1)c2ccc(Cl)c(Cl)c2 FCCOC(=O)CC1=CC=C(C=C1)C2=CC=CC=C2
ClC1=CC(=C(Cl)C=C1)C2=C(Cl)C(=C(Cl)C=C2)Cl Clc1ccc(cc1Cl)c2ccccc2
Clc1c(Cl)c(Cl)c(c2ccccc2)c(Cl)c1Cl NC(=O)CC1=CC=C(C2=CC=CC=C2)C=C1
ClC1=CC(=C(C=C1Cl)C2=C(Cl)C=C(Cl)C(=C2Cl)Cl)Cl Nc1ccccc1c2ccccc2
Clc1cc(Cl)c(c(Cl)c1)c2cc(Cl)cc(Cl)c2 Clc1ccccc1c2cc(Cl)c(Cl)c(Cl)c2
Clc1ccc(Cl)c(c1Cl)c2cc(Cl)c(Cl)cc2Cl Clc1ccccc1c2ccccc2
Clc1ccc(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl c1c(Cl)ccc(Cl)c1c2c(Cl)cccc2Cl
Clc1cc(Cl)cc(c1)c2c(Cl)ccc(Cl)c2Cl COc1ccc(cc1NNC(=O)OC(C)C)c2ccccc2
Clc1ccc(cc1)c2c(Cl)cc(Cl)c(Cl)c2Cl Clc1ccc(c(Cl)c1)c2ccccc2Cl
Clc1ccc(c(Cl)c1)c2cc(Cl)c(Cl)cc2Cl Cc1ccc(cc1)c2ccccc2
ClC1=CC=C(C=C1)C2=CC(=C(Cl)C(=C2)Cl)Cl Clc1ccc(Cl)c(c1)c2ccccc2
Clc1ccc(cc1Cl)c2ccc(Cl)c(Cl)c2Cl Clc1cccc(c1Cl)c2c(Cl)ccc(Cl)c2Cl
Clc1ccc(Cl)c(c1)c2c(Cl)cc(Cl)c(Cl)c2Cl c1ccccc1c2cc(Cl)ccc2
Clc1cc(Cl)c(cc1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl Oc1ccc(cc1[N+]([O-])=O)c2ccccc2
Clc1ccccc1c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl ClC1=CC=C(C=C1)C2=C(Cl)C=C(Cl)C=C2
Clc1ccc(c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl Clc1cccc(c1Cl)c2ccccc2Cl
BrC1=CC=C(Br)C(C2=CC(Br)=CC=C2Br)=C1 BrCc1ccc(cc1)c2ccccc2C#N
Clc1cc(Cl)c(c(Cl)c1)c2cc(Cl)c(Cl)cc2Cl C=CC(=O)OCCOc1ccccc1c2ccccc2
Clc1cc(c(Cl)c(Cl)c1Cl)c2c(Cl)cccc2Cl CC(=O)CC(=O)Nc1ccc(cc1C)c2ccc(NC(=O)CC(C)=O)c(C)c2
Clc1ccc(Cl)c(c1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl Cc1cc(ccc1N=C=O)c2ccc(N=C=O)c(C)c2
Clc1cc(Cl)c(cc1Cl)c2cc(Cl)c(Cl)c(Cl)c2 Cc1cc(ccc1N)c2ccc(N)c(C)c2
Clc1cc(Cl)c(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl CC(C(O)=O)C1=CC=C(C(=C1)F)C2=CC=CC=C2
Clc1ccc(c(Cl)c1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl Oc1cc(ccc1[N+]([O-])=O)c2ccccc2
Clc1cc(Cl)cc(c1)c2c(Cl)c(Cl)cc(Cl)c2Cl Clc1cccc(c1Cl)c2ccc(Cl)c(Cl)c2Cl
Clc1ccc(Cl)c(c2cc(Cl)c(Cl)c(Cl)c2)c1Cl Clc1ccc(cc1)c2cc(Cl)cc(Cl)c2Cl
ClC1=CC=C(C2=CC(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1 CC(C)(C)c1cc(c(O)c(c1)C(C)(C)C)c2cc(cc(c2O)C(C)(C)C)C(C)(C)C
Clc1cc(Cl)cc(c1)c2cc(Cl)cc(Cl)c2 BrC1=CC(Br)=C(C2=CC=CC=C2)C(Br)=C1
Clc1ccc(c(Cl)c1Cl)c2cc(Cl)c(Cl)cc2Cl Clc1cccc(c1)c2c(Cl)cc(Cl)cc2Cl
ClC1=CC=C(C=C1Cl)C2=CC(=C(Cl)C(=C2)Cl)Cl Brc1ccc(cc1)c2ccccc2
Clc1ccc(c(Cl)c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl c1ccccc1c2c(Cl)cc(Cl)c(Cl)c2
Clc1cccc(c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl Clc1ccc(Cl)c(c1)c2c(Cl)ccc(Cl)c2Cl
ClC1=CC=C(Cl)C(=C1)C2=C(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl Clc1ccc(cc1)c2c(Cl)cccc2Cl
Clc1ccc(cc1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl Clc1cccc(c1)c2cc(Cl)c(Cl)cc2Cl
Clc1cccc(c1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl Clc1cc(Cl)c(Cl)c(c2ccccc2)c1Cl
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)c(Cl)cc(Cl)c2Cl Clc1cccc(c1Cl)c2cccc(Cl)c2Cl
ClC1=CC=C(C2=CC=C(Cl)C(Cl)=C2)C=C1Cl Oc1ccc(cc1)c2ccccc2
ClC1=CC(=C(C=C1)C2=CC(=C(Cl)C(=C2)Cl)Cl)Cl Clc1cccc(c1)c2ccccc2Cl
c1c(Cl)c(Cl)cc(Cl)c1c2c(Cl)cc(Cl)c(Cl)c2 Clc1cc(Cl)c(c(Cl)c1)c2ccccc2Cl
ClC1=CC(Cl)=C(Cl)C(C2=CC(Cl)=CC(Cl)=C2Cl)=C1 Clc1ccc(c(Cl)c1)c2cccc(Cl)c2Cl
Clc1cc(Cl)c(Cl)c(c1)c2cc(Cl)c(Cl)cc2Cl ClC1=CC=C(C2=C(Cl)C=C(Cl)C=C2Cl)C=C1
Clc1ccc(Cl)c(c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl COCc1ccc(cc1)c2ccc(COC)cc2
Clc1cc(Cl)c(Cl)c(c1)c2c(Cl)c(Cl)cc(Cl)c2Cl Clc1ccc(c(Cl)c1Cl)c2ccccc2Cl
Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl OC(=O)C1=C(C=CC=C1)C2=CC=CC=C2
Clc1cc(Cl)c(c(Cl)c1)c2cc(Cl)c(Cl)c(Cl)c2Cl ClC1=CC(=C(Cl)C(=C1)C2=C(Cl)C(=CC=C2)Cl)Cl
Clc1cc(Cl)c(Cl)c(c1)c2c(Cl)cc(Cl)c(Cl)c2Cl Clc1ccc(c(Cl)c1Cl)c2c(Cl)cccc2Cl
CC(=O)C(N=Nc1ccc(c(Cl)c1)c2ccc(N=NC(C(C)=O)C(=O)NN)c(Cl)c2)C(=O)NN Clc1ccc(cc1)c2ccccc2Cl
Clc1c(Cl)cc(Cl)cc1c2c(Cl)cc(Cl)cc2Cl Clc1ccc(cc1Cl)c2c(Cl)cccc2Cl
ClC1=CC(=C(C(=C1)Cl)C2=C(Cl)C=C(Cl)C=C2Cl)Cl Clc1ccc(c(Cl)c1)c2ccccc2
Clc1cc(cc(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl ClC1=CC(=C(C=C1)C2=CC(=CC=C2Cl)Cl)Cl
ClC1=C(Cl)C(=C(C=C1)C2=CC=C(Cl)C(=C2Cl)Cl)Cl CC(=O)OC1=CC=C(C=C1)C2=CC=CC=C2
Clc1cc(cc(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2 Clc1cccc(c2ccccc2)c1Cl
ClC1=CC=C(C=C1Cl)C2=C(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2
ClC1=CC(Cl)=C(Cl)C=C1C1=C(Cl)C(Cl)=CC(Cl)=C1Cl Oc1ccc(cc1)c2ccc(O)cc2
Clc1ccc(c(Cl)c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl S=C=NC1=CC=C(C=C1)C2=CC=CC=C2
Clc1cc(Cl)c(c(Cl)c1Cl)c2c(Cl)cc(Cl)c(Cl)c2Cl ClC1=CC=CC(=C1Cl)C2=C(Cl)C=CC=C2Cl
ClC1=CC(=C(Cl)C(=C1Cl)C2=CC(=C(Cl)C(=C2)Cl)Cl)Cl CC(=O)c1ccc(cc1)c2ccccc2
Clc1cc(Cl)cc(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl
ClC1=CC=C(C2=CC(=C(Cl)C(=C2)Cl)Cl)C(=C1Cl)Cl Clc1ccccc1c2cc(Cl)c(Cl)cc2Cl
Clc1cc(Cl)c(c2cc(Cl)c(Cl)c(Cl)c2)c(Cl)c1Cl C1=CC=C(C=C1)C2=C(C(=CC=C2)O)[N+](=O)[O-]
Clc1ccc(Cl)c(c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl Clc1ccccc1c2ccccc2Cl
Clc1cc(Cl)c(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl Clc1cccc(c1)c2ccc(Cl)c(Cl)c2Cl
ClC1=CC(=C(Cl)C(=C1Cl)Cl)C2=CC(=C(Cl)C(=C2Cl)Cl)Cl Oc1ccccc1c2ccccc2
Clc1cc(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl OC(=O)C(=C)CC(=O)C1=CC=C(C=C1)C2=CC=CC=C2Cl
Clc1cc(c(Cl)c(Cl)c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl C1=CC=C(C=C1)C2=C(C=CC(=C2)O)[N+](=O)[O-]
Clc1ccc(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl Nc1ccc(cc1)c2ccc(Cl)cc2
Brc1ccc(c(Br)c1Br)c2c(Br)c(Br)c(Br)c(Br)c2Br Clc1ccc(Cl)c(c1)c2cccc(Cl)c2Cl
ClC1=C(Cl)C(=C(Cl)C(=C1)Cl)C2=C(Cl)C(=CC(=C2Cl)Cl)Cl Nc1ccc(cc1Cl)c2ccc(N)c(Cl)c2
Clc1cc(Cl)c(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl Clc1ccc(cc1)c2ccc(Cl)c(Cl)c2Cl
Clc1cc(Cl)c(c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl Clc1ccc(c(Cl)c1)c2c(Cl)cccc2Cl
Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl Clc1ccc(cc1)c2cccc(Cl)c2
Clc1cc(Cl)c(cc1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl Clc1ccc(cc1)c2cc(Cl)ccc2Cl
ClC1=C(Cl)C(=C(Cl)C(=C1)C2=C(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl)Cl Oc1ccc(cc1O)c2ccccc2
Clc1cc(cc(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl ClC1=CC(=C(Cl)C=C1)C2=CC(=CC=C2Cl)Cl
Brc1ccc(Br)c(c1)c2cc(Br)c(Br)cc2Br ClC1=CC(=C(C=C1)C2=CC=C(Cl)C=C2Cl)Cl
ClCc1ccc(cc1)c2ccc(CCl)cc2 Clc1ccc(cc1)c2cc(Cl)c(Cl)c(Cl)c2Cl
Clc1cc(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl ClC1=CC(=C(Cl)C(=C1Cl)Cl)C2=CC=CC=C2
Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl ClC1=CC=C(Cl)C(=C1Cl)C2=CC=CC=C2
Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl Clc1ccc(cc1)c2ccc(Cl)c(Cl)c2
Cc1cc(cc(C)c1O)C(C)(C)c2cc(C)c(O)c(C)c2 CN(C)C(=O)C(c1ccccc1)c2ccccc2
CC(c1ccc(OC#N)cc1)c2ccc(OC#N)cc2 CC(C)(c1ccc(O)cc1)c2ccc(O)cc2
CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c2ccc(Cl)cc2 CC(C)(O)C(=O)c1ccc(Cc2ccc(cc2)C(=O)C(C)(C)O)cc1
CC(=C)C(=O)OCCOc1ccc(cc1)C(C)(C)c2ccc(OCCOC(=O)C(C)=C)cc2 c1ccccc1Cc2ccccc2
CC(C)(c1ccc(OC#N)cc1)c2ccc(OC#N)cc2 CCOC(=O)C(O)(c1ccc(Cl)cc1)c2ccc(Cl)cc2
CCc1cc(Cc2cc(CC)cc(c2O)C(C)(C)C)c(O)c(c1)C(C)(C)C COc1ccc(cc1)C(C(C)[N+]([O-])=O)c2ccc(OC)cc2
OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl Oc1ccc(Cl)cc1Cc2ccccc2
